ID	Zone	Number	Name	TeReo	Feature	FeatureID	FeaturePlural	Wikipedia
gr_0-2	0	2	Lake Ellesmere	Te Waihora	Lake	fe_147		https://en.wikipedia.org/wiki/Lake_Ellesmere_/_Te_Waihora
gr_0-3	0	3	Lake Hāwea	Hāwea	Lake	fe_147		https://en.wikipedia.org/wiki/Lake_H%C4%81wea
gr_0-4	0	4	Lake Manapōuri	Manapōuri	Lake	fe_147		https://en.wikipedia.org/wiki/Lake_Manapouri
gr_0-5	0	5	Lake Okataina	Okataina	Lake	fe_147		https://en.wikipedia.org/wiki/Lake_Okataina
gr_0-6	0	6	Lake Rotomā	Rotomā	Lake	fe_147		https://en.wikipedia.org/wiki/Lake_Rotoma
gr_0-7	0	7	Lake Wānaka	Wānaka	Lake	fe_147		https://en.wikipedia.org/wiki/Lake_Wanaka
gr_0-8	0	8	Little Barrier Island	Hauturu	Island	fe_134		https://en.wikipedia.org/wiki/Little_Barrier_Island
gr_0-9	0	9	Moeraki Peninsula	Moeraki	Peninsula	fe_198		https://en.wikipedia.org/wiki/Moeraki
gr_0-10	0	10	Muttonbird Islands	Titi	Islands	fe_134	1	https://en.wikipedia.org/wiki/Titi_/_Muttonbird_Islands
gr_0-11	0	11	North Islands		Islands	fe_134	1	
gr_0-12	0	12	Auckland War Memorial Museum	Tāmaki Paenga Hira	Museum	fe_180		https://en.wikipedia.org/wiki/Auckland_War_Memorial_Museum
gr_0-13	0	13	Pelorus Sound	Te Hoiere	Sound	fe_252		https://en.wikipedia.org/wiki/Pelorus_Sound
gr_0-14	0	14	Pitt Island	Rangiauria	Island	fe_134		https://en.wikipedia.org/wiki/Pitt_Island
gr_0-15	0	15	Poor Knights Islands	Tawhiti Rahi	Islands	fe_134	1	https://en.wikipedia.org/wiki/Poor_Knights_Islands
gr_0-16	0	16	Port Levy	Koukourarata	Port	fe_206		https://en.wikipedia.org/wiki/Port_Levy
gr_0-17	0	17	Port Underwood	Te Whanganui	Port	fe_206		https://en.wikipedia.org/wiki/Port_Underwood
gr_0-18	0	18	Queen Charlotte Sound	Tōtaranui	Sound	fe_252		https://en.wikipedia.org/wiki/Queen_Charlotte_Sound_(New_Zealand)
gr_0-19	0	19	Rangitoto Island	Rangitoto	Island	fe_134		https://en.wikipedia.org/wiki/Rangitoto_Island
gr_0-20	0	20	Rangitoto Islands		Islands	fe_134	1	https://en.wikipedia.org/wiki/Rangitoto_Islands
gr_0-21	0	21	Resolution Island	Tau Moana	Island	fe_134		https://en.wikipedia.org/wiki/Resolution_Island_(New_Zealand)
gr_0-22	0	22	Tory Channel	Kura Te Au	Channel	fe_45		https://en.wikipedia.org/wiki/Tory_Channel
gr_0-23	0	23	Breaksea Islands		Islands	fe_134	1	https://en.wikipedia.org/wiki/Titi_/_Muttonbird_Islands
gr_0-24	0	24		Waikouaiti	Town	fe_282		https://en.wikipedia.org/wiki/Waikouaiti
