ID	IslandID	PartID	ZoneID	Zone	Number	IndexName_1	Featured	SpokenName_1	PhoneticName_1	Speaker_1	SpeakerID_1	Start_1	End_1	IndexName_2	SpokenName_2	PhoneticName_2	Speaker_2	SpeakerID_2	Start_2	End_2	IndexName_3	SpokenName_3	PhoneticName_3	Speaker_3	SpeakerID_3	Start_3	End_3	CommonName_1	UnspokenName_1	ExtendedName_1	ExtendedName_2	VariantName_1	MisspelledName_1	Note_Speech	Note_Spelling	Note_Name	Note_Place	Group_1	GroupID_1	Group_2	GroupID_2	Transliteration	Addenda_Zone	SeeType	SeeText	SeeZone_1	SeeZoneID_1	SeeName_1	SeeNameID_1	SeeID_1	SeeZone_2	SeeZoneID_2	SeeName_2	SeeNameID_2	SeeID_2	SeeZone_3	SeeZoneID_3	SeeName_3	SeeNameID_3	SeeID_3	SeeZone_4	SeeZoneID_4	SeeName_4	SeeNameID_4	SeeID_4	KindPrefix_1	Kind_1	KindID_1	KindPlural_1	KindName_1	Super_1	Super_1.a	Super_1.1	KindPrefix_2	Kind_2	KindID_2	KindPlural_2	KindName_2	Super_2	Super_2.a	Kind_3	KindID_3	KindPlural_3	KindName_3	Super_3	Super_3.a	Kind_4	KindID_4	KindPlural_4	KindName_4	Super_4	Super_4.a	Kind_5	KindID_5	KindPlural_5	KindName_5	Kind_6	KindID_6	KindPlural_6	KindName_6	Kind_7	KindID_7	KindPlural_7	KindName_7
pn_zo_1-0			zo_1	Wellington	0	Intro		Zone 1: Wellington		Hugh Young	sp_37	1.17	2.74															Zone 1: Wellington																																																																												
pn_zo_1-1			zo_1	Wellington	1	Aotea		Aotea		Kara Puketapu	sp_51	4.32	5.63																																																						quay	fe_212		Aotea Quay																																		
pn_zo_1-2			zo_1	Wellington	2	Arahanga		Arahanga		Kara Puketapu	sp_51	7.10	8.16																																																						ferry	fe_87		Arahanga																																		
pn_zo_1-3			zo_1	Wellington	3	Arahura		Arahura		Kara Puketapu	sp_51	10.07	11.17																																																						ferry	fe_87		Arahura																																		
pn_zo_1-4			zo_1	Wellington	4	Aratika		Aratika		Kara Puketapu	sp_51	12.79	13.99																																																						ferry	fe_87		Aratika																																		
pn_zo_1-5			zo_1	Wellington	5	Aro		Aro		Kara Puketapu	sp_51	15.01	15.69																																																						valley	fe_295		Aro Valley																																		
pn_zo_1-6			zo_1	Wellington	6	Awarua		Awarua		Kara Puketapu	sp_51	17.67	18.71																																																						railway station	fe_217		Awarua Street Station																																		
pn_zo_1-7			zo_1	Wellington	7	Hātaitai	1	Hātaitai		Kara Puketapu	sp_51	20.47	21.85																																																						suburb	fe_270		Hātaitai																																		
pn_zo_1-8			zo_1	Wellington	8	Hape		Hape		Kara Puketapu	sp_51	23.54	24.65																																																						stream	fe_268		Hape Stream																																		
pn_zo_1-9			zo_1	Wellington	9	Hau Moana		Hau Moana		Kara Puketapu	sp_51	25.73	27.01																																																						hospital	fe_125		Hau Moana Hospital																																		
pn_zo_1-10			zo_1	Wellington	10	Kārōri	1	Kārōri		Kara Puketapu	sp_51	28.34	29.36	Kaharore															Kaharore			Kaharore																																			suburb	fe_270		Kārōri					stream	fe_268		Kārōri Stream																										
