ZoneID	Zone	Number	IndexName_1	SpokenName_1	Speaker_1	SpeakerID_1	Start_1	End_1	Duration_1	IndexName_2	SpokenName_2	Speaker_2	SpeakerID_2	Start_2	End_2	IndexName_3	SpokenName_3	Speaker_3	SpeakerID_3	Start_3	End_3	CommonName	UnspokenName	ExtendedName	VariantName	MisspelledName	Note_speech	Note_place	SeeType	See	See Text	SeeZoneID_1	SeeZone_1	SeeName_1	SeeNotes_1	SeeZoneID_2	SeeZone_2	SeeName_2	SeeNotes_2	SeeZone_3	SeeName_3	SeeNotes_3	SeeZone_4	SeeName_4	SeeNotes_4	Kind_1	Super_1	Kind_2	Super_2	Kind_3	Super_3	Kind_4	Super_4	Kind_5	Super_5
1	Wellington	0	Intro	Zone 1: Wellington	Hugh Young	38	1.17	2.74	1.57																																					intro									
1	Wellington	1	Aotea	Aotea	Kara Puketapu	52	4.32	5.63	1.31																																					quay									
1	Wellington	2	Arahanga	Arahanga	Kara Puketapu	52	7.1	8.16	1.06																																					ferry									
1	Wellington	3	Arahura	Arahura	Kara Puketapu	52	10.07	11.17	1.10																																					ferry									
1	Wellington	4	Aratika	Aratika	Kara Puketapu	52	12.79	13.99	1.20																																					ferry									
1	Wellington	5	Aro	Aro	Kara Puketapu	52	15.01	15.69	0.68																																					valley									
1	Wellington	6	Awarua	Awarua	Kara Puketapu	52	17.67	18.71	1.04																																					railway station									
1	Wellington	7	Hātaitai	Hātaitai	Kara Puketapu	52	20.47	21.85	1.38																																					suburb									
1	Wellington	8	Hape	Hape	Kara Puketapu	52	23.54	24.65	1.11																																					stream									
1	Wellington	9	Hau Moana	Hau Moana	Kara Puketapu	52	25.73	27.01	1.28																																					hospital									
1	Wellington	10	Kārōri	Kārōri 	Kara Puketapu	52	28.34	29.36	1.02	Kaharore													Kaharore		Kaharore																					suburb		stream							
1	Wellington	11	Kaiwharawhara	Kaiwharawhara	Kara Puketapu	52	30.57	31.87	1.30																																					suburb									
1	Wellington	12	Karaka	Karaka	Kara Puketapu	52	33.62	34.38	0.76																																					bay									
1	Wellington	13	Kau	Kau 	Kara Puketapu	52	35.7	36.49	0.79	Kau-whakaara-waru													Kau-whakaara-waru	Kau-whakaara-waru																						bay		point							
1	Wellington	14	Kaukau	Kaukau	Kara Puketapu	52	37.85	38.81	0.96																																					mountain									
1	Wellington	15	Kimiora	Kimi-ora	Kara Puketapu	52	40.63	41.56	0.93																																					school									
1	Wellington	16	Kio	Kio	Kara Puketapu	52	43.31	44.12	0.81																																					bay									
1	Wellington	17	Kotahitanga	Kotahitanga	Kara Puketapu	52	46.04	47.32	1.28																																					hall									
1	Wellington	18	Māhanga	Māhanga	Kara Puketapu	52	48.57	49.64	1.07																																					bay									
1	Wellington	19	Mākara	Mākara	Kara Puketapu	52	51.09	52.29	1.20																																					stream		locality							
1	Wellington	20	Mākaro	Mākaro	Kara Puketapu	52	53.85	54.96	1.11													Ward Island																								island									
1	Wellington	21	Mātiu	Mātiu	Kara Puketapu	52	57.03	58.27	1.24													Somes Island																								island									
1	Wellington	22	Māupuia	Māupuia	Kara Puketapu	52	59.71	61.2	1.49																																					suburb									
1	Wellington	23	Mairangi	Mairangi	Kara Puketapu	52	62.39	63.61	1.22																																					suburb									
1	Wellington	24	Moa	Moa	Kara Puketapu	52	65.03	65.77	0.74																																					point									
1	Wellington	25	Moerā	Moe-rā	Kara Puketapu	52	67.52	68.6	1.08	Moe-rā															Moe-rā																					locality									
1	Wellington	26	Mokopuna	Mokopuna	Kara Puketapu	52	70.33	71.53	1.20																																					island									
1	Wellington	27	Ngāti Aorere	Ngāti Aorere	Kara Puketapu	52	73.11	74.79	1.68																																					meeting room									
1	Wellington	28	Ngāūranga	Ngāūranga	Kara Puketapu	52	76.52	78.18	1.66	Ngāūranga-waka													Ngāūranga-waka	Ngāūranga-waka																						gorge									
1	Wellington	29	Ngaio	Ngaio	Kara Puketapu	52	79.55	80.63	1.08																																					gorge		suburb							
1	Wellington	30	Ōhau	Ōhau	Kara Puketapu	52	82.65	83.64	0.99																																					bay		point							
1	Wellington	31	Ōpau	Ōpau	Kara Puketapu	52	85.01	86.2	1.19																																					bay									
1	Wellington	32	Ōrangi-Kaupapa	Ōrangi-Kaupapa	Kara Puketapu	52	87.63	89.56	1.93																																					suburb									
1	Wellington	33	Ōtari	Ōtari	Kara Puketapu	52	91.29	92.27	0.98																																					plant museum									
1	Wellington	34	Ōteranga	Ōteranga	Kara Puketapu	52	93.94	95.26	1.32																																					head									
1	Wellington	35	Ōwhiro	Ōwhiro 	Kara Puketapu	52	96.88	98.06	1.18	Ohiro													Ohiro			Ohiro																				bay									
1	Wellington	36	Papārangi	Papārangi	Kara Puketapu	52	99.99	101.05	1.06	Paparārangi													Paparārangi	Paparārangi																						suburb									
1	Wellington	37	Pīpītea	Pīpītea	Kara Puketapu	52	102.71	104.09	1.38																																					marae									
1	Wellington	38	Piki te ora	Piki te Ora	Kara Puketapu	52	105.7	107.26	1.56																																					hospital									
1	Wellington	39	Pōneke	Pōneke	Kara Puketapu	52	108.87	110.05	1.18																																					region									
1	Wellington	40	Rāroa	Rāroa	Kara Puketapu	52	111.9	113.05	1.15																																					suburb									
1	Wellington	41	Rewarewa	Rewarewa	Kara Puketapu	52	114.17	115.27	1.10																																					school									
1	Wellington	42	Rongotai	Rongotai	Kara Puketapu	52	116.9	118.1	1.20																																					suburb		airport							
1	Wellington	43	Tānera	Tānera	Kara Puketapu	52	119.77	120.87	1.10																																					park									
1	Wellington	44	Tapu te Ranga	Tapu te Ranga	Kara Puketapu	52	122.5	123.8	1.30																																					island		marae	2						
1	Wellington	45	Tarakena	Tarakena	Kara Puketapu	52	125.53	126.56	1.03	Taraki													Taraki			Taraki																				bay									
1	Wellington	46	Te Aro	Te Aro	Kara Puketapu	52	128.45	129.35	0.90																																					suburb									
1	Wellington	47	Te Hau-ki-Tūranga	Te Hau-ki-Tūranga	Kara Puketapu	52	130.87	132.85	1.98																			in the National Museum [Te Papa]																		meeting house									
1	Wellington	48	Te Herenga Waka	Te Herenga Waka	Kara Puketapu	52	134.73	136.17	1.44																																					marae									
1	Wellington	49	Te Hōpai	Te Hōpai	Kara Puketapu	52	138.03	139.26	1.23																																					home									
1	Wellington	50	Te Ika-ā-Maru	Te Ika-ā-Maru	Kara Puketapu	52	141.06	142.59	1.53																																					bay									
1	Wellington	51	Te Kāinga	Te Kāinga	Kara Puketapu	52	144.22	145.35	1.13																																					suburb		catholic centre							
1	Wellington	52	Te Raekaihau	Te Raekaihau	Kara Puketapu	52	147.07	148.48	1.41																																					point									
1	Wellington	53	Te Upoko o te Ika	Te Upoko o te Ika	Kara Puketapu	52	150.1	152.15	2.05																																					meeting house									
1	Wellington	54	Te Whanganui-ā-Tara	Te Whanganui-ā-Tara	Kara Puketapu	52	153.84	155.71	1.87																																					harbour									
1	Wellington	55	Terāwhiti	Terāwhiti	Kara Puketapu	52	157.29	158.47	1.18																																					cape									
1	Wellington	56	Tinakori	Tinakori	Kara Puketapu	52	160.08	161.12	1.04																																					hill									
1	Wellington	57	Weka	Weka	Kara Puketapu	52	163.34	164.02	0.68																																					bay									
1	Wellington	58	Whaiora	Whaiora	Kara Puketapu	52	165.77	166.85	1.08																																					meeting house	2								
2	Lower Hutt Valley	0	Intro	Zone 2: Lower Hutt Valley	Hugh Young	38	1.6	3.59	1.99																																					intro									
2	Lower Hutt Valley	1	Arakura	Arakura	Kara Puketapu	52	5.77	6.83	1.06																																					school									
2	Lower Hutt Valley	2	Arohanui Ki te Tangata	Arohanui Ki Te Tangata	Kara Puketapu	52	8.51	10.55	2.04																																					meeting house	2								
2	Lower Hutt Valley	3	Ēpuni	Ēpuni	Kara Puketapu	52	12.29	13.32	1.03																																					suburb									
2	Lower Hutt Valley	4	Horokiwi	Horokiwi	Kara Puketapu	52	14.85	15.88	1.03																																					locality									
2	Lower Hutt Valley	5	Huia	Huia	Kara Puketapu	52	17.78	18.7	0.92																																					swimming pool									
2	Lower Hutt Valley	6	Kaimahi	Kaimahi	Kara Puketapu	52	20.7	21.61	0.91																																					school									
2	Lower Hutt Valley	7	Kōkiri	Kōkiri	Kara Puketapu	52	23.03	23.96	0.93																																					marae									
2	Lower Hutt Valley	8	Kōrau	Kōrau	Kara Puketapu	52	25.29	26.21	0.92																																					park									
2	Lower Hutt Valley	9	Korokoro	Korokoro	Kara Puketapu	52	27.45	28.54	1.09																																					suburb									
2	Lower Hutt Valley	10	Māhina	Māhina	Kara Puketapu	52	30.3	31.27	0.97																																					bay									
2	Lower Hutt Valley	11	Mangungu	Mangungu	Kara Puketapu	52	32.54	33.7	1.16																																					marae									
2	Lower Hutt Valley	12	Maungaraki	Maungaraki 	Kara Puketapu	52	34.93	36.17	1.24	Mangaraki																Mangaraki																				suburb									
2	Lower Hutt Valley	13	Moerā	Moerā	Kara Puketapu	52	37.25	38.17	0.92																																					suburb									
2	Lower Hutt Valley	14	Muritai	Muritai	Kara Puketapu	52	39.72	40.76	1.04																																					school									
2	Lower Hutt Valley	15	Naenae	Naenae	Kara Puketapu	52	41.97	43.24	1.27																																					suburb									
2	Lower Hutt Valley	16	Nukutewhatewha	Nukutewhatewha	Kara Puketapu	52	44.49	46.16	1.67																			in the Dowse Gallery																		storehouse									
2	Lower Hutt Valley	17	Ōrongorongo	Ōrongorongo	Kara Puketapu	52	47.67	48.95	1.28																																					range									
2	Lower Hutt Valley	18	Ōwhiti	Ōwhiti	Kara Puketapu	52	50.07	51.17	1.10																																					marae		cemetery							
2	Lower Hutt Valley	19	Pētōne	Pētōne 	Kara Puketapu	52	52.3	53.54	1.24	Pito-one													Pito-one		Pito-one																					borough									
2	Lower Hutt Valley	20	Pōmare	Pōmare	Kara Puketapu	52	54.85	55.84	0.99																																					suburb									
2	Lower Hutt Valley	21	Puketiro	Puketiro	Kara Puketapu	52	57.26	58.32	1.06																																					school									
2	Lower Hutt Valley	22	Rātā	Rātā	Kara Puketapu	52	59.53	60.68	1.15																																					(street) school									
2	Lower Hutt Valley	23	Rona	Rona	Kara Puketapu	52	62.18	62.84	0.66																																					bay									
2	Lower Hutt Valley	24	Tāpiri	Tāpiri	Kara Puketapu	52	63.9	64.74	0.84																																					marae	1								
2	Lower Hutt Valley	25	Tāwhai	Tāwhai	Kara Puketapu	52	65.64	66.57	0.93																																					school									
2	Lower Hutt Valley	26	Taitā	Taitā	Kara Puketapu	52	67.52	68.43	0.91																																					suburb									
2	Lower Hutt Valley	27	Te Kī Kōpu	Te Kī Kōpu	Kara Puketapu	52	69.58	71.03	1.45																																					dining hall	1								
2	Lower Hutt Valley	28	Te Manawa-o-te-Kāhui	Te Manawa-o-te-Kāhui	Kara Puketapu	52	72.66	74.64	1.98																																					meeting house	1								
2	Lower Hutt Valley	29	Te Omanga	Te Omanga	Kara Puketapu	52	76.56	77.61	1.05																																					hospice									
2	Lower Hutt Valley	30	Te Puna-o-te-ora	[Te Puna-o-te-ora] track corrupted?	Kara Puketapu	52	79.11	80.88	1.77														Te Puna-o-te-ora																							dining hall	3								
2	Lower Hutt Valley	31	Te Tatau-o-te-Pō	Te Tatau-o-te-Pō	Kara Puketapu	52	82.02	83.67	1.65																																					meeting house									
2	Lower Hutt Valley	32	Te Whiti	Te Whiti	Kara Puketapu	52	84.85	85.74	0.89																																					park									
2	Lower Hutt Valley	33	Turakirae	Turakirae	Kara Puketapu	52	86.91	88.08	1.17																																					head									
2	Lower Hutt Valley	34	Tūī	Tūī	Kara Puketapu	52	89.61	90.48	0.87																																					(Glen) school									
2	Lower Hutt Valley	35	Wā-ora	Wā-ora	Kara Puketapu	52	92	93.29	1.29																																					school									
2	Lower Hutt Valley	36	Wainuiōmata	Wainuiōmata	Kara Puketapu	52	94.9	96.39	1.49																																					town		river		marae	3				
2	Lower Hutt Valley	37	Waiwhetū	Waiwhetū	Kara Puketapu	52	97.67	98.79	1.12																																					stream		marae	2	suburb					
2	Lower Hutt Valley	38	Wharehoa	Wharehoa	Kara Puketapu	52	100.25	101.37	1.12																																					centre									
3	Upper Hutt Valley	0	Intro	Zone 3: Upper Hutt Valley	Hugh Young	38	1.55	3.5	1.95																																					intro									
3	Upper Hutt Valley	1	Akatārewa	Akatārewa	Kara Puketapu	52	5.34	6.72	1.38	Akatārawa	Akatārawa	Kara Puketapu	52	7.55	8.96											Akatārawa																				river		range							
3	Upper Hutt Valley	2	Awa-Kairangi	Awa-kairangi	Kara Puketapu	52	10.17	11.49	1.32																																					(Hutt) river		park							
3	Upper Hutt Valley	3	Heretaunga	Heretaunga 	Kara Puketapu	52	12.51	13.9	1.39	Harataunga	Harataunga	Kara Puketapu	52	14.68	16.03										Harataunga																					(Hutt) river		suburb							
3	Upper Hutt Valley	4	Kaitoke	Kaitoke	Kara Puketapu	52	17	17.95	0.95																																					locality									
3	Upper Hutt Valley	5	Mā-wai-hākona	Mā-wai-hākona 	Kara Puketapu	52	19.7	21.47	1.77	Mā-wai-hakona												Trentham	Mā-wai-hakona		Mā-wai-hakona			variant differs only in the macron																		locality									
3	Upper Hutt Valley	6	Māoribank	Māori-	Kara Puketapu	52	23.36	24.31	0.95															Māoribank																						suburb									
3	Upper Hutt Valley	7	Mangaroa	Mangaroa	Kara Puketapu	52	26.03	27.61	1.58																																					suburb									
3	Upper Hutt Valley	8	Ngāti Tama	Ngāti Tama	Kara Puketapu	52	28.73	29.9	1.17																																					park									
3	Upper Hutt Valley	9	Ōrongomai	Ōrongomai	Kara Puketapu	52	31.28	32.49	1.21																																					marae		meeting house							
3	Upper Hutt Valley	10	Pākurātahi	Pākurātahi	Kara Puketapu	52	34.42	35.89	1.47																																					stream									
3	Upper Hutt Valley	11	Rimutaka	Rimutaka	Kara Puketapu	52	36.85	37.85	1.00																																					range		tunnel							
3	Upper Hutt Valley	12	Te Hau Karetū	Te Hau Karetū	Kara Puketapu	52	39.44	40.9	1.46																																					park									
3	Upper Hutt Valley	13	Te Mārua	Te Mārua	Kara Puketapu	52	42.08	43.22	1.14																																					reservoirs		settlement							
3	Upper Hutt Valley	14	Tōtara	Tōtara	Kara Puketapu	52	44.24	45.17	0.93															Tōtara Park																						suburb									
3	Upper Hutt Valley	15	Whakatiki	Whakatiki	Kara Puketapu	52	46.46	47.4	0.94																																					locality									
3	Upper Hutt Valley	16	Wī Tako	Wī Tako	Kara Puketapu	52	48.91	49.98	1.07																																					[prison] now Rimutaka									
4	Porirua Harbour	0	Intro	Zone 4: Porirua Harbour	Hugh Young	38	1.34	3.22	1.88																																					intro									
4	Porirua Harbour	1	Angapaua	Angapaua	Tarawara Katene	108	5.04	6.27	1.23																																					point									
