ID	Number	Zone	Island	IslandID	Region	RegionID	Sector	SectorID	FullName	Name	TeReo	WikiLink	Wikipedia	WikiMi	WikiData	Link	Area	Population
di_1	1	127	North Island	is_1	Northland	re_1	Northland	se_17	Far North District	Far North		https://en.wikipedia.org/wiki/Far_North_District	Far North District		Q1365839	https://en.wikipedia.org/wiki/Kaikohe	6677	64400
di_2	2	128	North Island	is_1	Northland	re_1	Northland	se_17	Whangarei District		Whangarei	https://en.wikipedia.org/wiki/Whangarei_District	Whangarei District	https://mi.wikipedia.org/wiki/Whang%C4%81rei-terenga-paraoa	Q3696415	https://en.wikipedia.org/wiki/Whangarei	2712	91400
di_3	3	124	North Island	is_1	Northland	re_1	Northland	se_17	Kaipara District		Kaipara	https://en.wikipedia.org/wiki/Kaipara_District	Kaipara District	https://mi.wikipedia.org/wiki/Kaipara_Flats	Q163982	https://en.wikipedia.org/wiki/Dargaville	3109	23200
di_4	4	116	North Island	is_1	Auckland	re_2	Auckland	se_16	Auckland	Auckland	Tāmaki-makau-rau	https://en.wikipedia.org/wiki/Auckland_Region	Auckland Region	https://mi.wikipedia.org/wiki/T%C4%81maki-makau-rau	Q726917	https://en.wikipedia.org/wiki/Auckland	4940	1695900
di_5	5	85	North Island	is_1	Waikato	re_3	Coromandel	se_12	Thames-Coromandel District	Thames-Coromandel		https://en.wikipedia.org/wiki/Thames-Coromandel_District	Thames-Coromandel District		Q2305865	https://en.wikipedia.org/wiki/Thames,_New_Zealand	2207	29700
di_6	6	86	North Island	is_1	Waikato	re_3	Hauraki	se_13	Hauraki District		Hauraki	https://en.wikipedia.org/wiki/Hauraki_District	Hauraki District	https://mi.wikipedia.org/wiki/Hauraki	Q1589865	https://en.wikipedia.org/wiki/Paeroa	1270	19950
di_7	7	104	North Island	is_1	Waikato	re_3	Waikato	se_15	Waikato District		Waikato	https://en.wikipedia.org/wiki/Waikato_District	Waikato District	https://mi.wikipedia.org/wiki/Waikato	Q1973593	https://en.wikipedia.org/wiki/Ngaruawahia	4403	75300
di_8	8	100	North Island	is_1	Waikato	re_3	Waikato	se_15	Matamata-Piako District		Matamata-Piako	https://en.wikipedia.org/wiki/Matamata-Piako_District	Matamata-Piako District		Q974296	https://en.wikipedia.org/wiki/Te_Aroha	1755	35200
di_9	9	103	North Island	is_1	Waikato	re_3	Waikato	se_15	Hamilton City	Hamilton	Kirikiriroa	https://en.wikipedia.org/wiki/Hamilton,_New_Zealand	Hamilton, New Zealand	https://mi.wikipedia.org/wiki/Kirikiriroa	Q200028		110	169300
di_10	10	94	North Island	is_1	Waikato	re_3	Waikato	se_15	Waipa District		Waipa	https://en.wikipedia.org/wiki/Waipa_District	Waipa District	https://mi.wikipedia.org/wiki/Waipa_Valley	Q1760796	https://en.wikipedia.org/wiki/Te_Awamutu	1470	54000
di_11	11	95	North Island	is_1	Waikato	re_3	Waikato	se_15	Otorohanga District		Otorohanga	https://en.wikipedia.org/wiki/Otorohanga_District	Otorohanga District		Q24490507		1999	10250
di_12	12	98	North Island	is_1	Waikato	re_3	Waikato	se_15	South Waikato District	South Waikato		https://en.wikipedia.org/wiki/South_Waikato_District	South Waikato District		Q1760808	https://en.wikipedia.org/wiki/Tokoroa	1819	24400
di_13	13	93	North Island	is_1	Waikato	re_3	King Country	se_14	Waitomo District		Waitomo	https://en.wikipedia.org/wiki/Waitomo_District	Waitomo District	https://mi.wikipedia.org/wiki/Waitomo_Valley	Q1210773	https://en.wikipedia.org/wiki/Te_Kuiti	3535	9640
di_14	14	15	North Island	is_1	Waikato	re_3	Taupō	se_4	Taupo District	Taupo	Taupō-nui-a-Tia	https://en.wikipedia.org/wiki/Taupo_District	Taupo District	https://mi.wikipedia.org/wiki/Taup%C5%8D-nui-a-Tia	Q2644349	https://en.wikipedia.org/wiki/Taupo	6333	37200
di_15	15	73	North Island	is_1	Bay of Plenty	re_4	Western Bay of Plenty	se_11	Western Bay of Plenty District	Western Bay of Plenty		https://en.wikipedia.org/wiki/Western_Bay_of_Plenty_District	Western Bay of Plenty District		Q959152		1951	50100
di_16	16	76	North Island	is_1	Bay of Plenty	re_4	Western Bay of Plenty	se_11	Tauranga City		Tauranga	https://en.wikipedia.org/wiki/Tauranga_City_Council	Tauranga City Council	https://mi.wikipedia.org/wiki/Tauranga-moana	Q207756	https://en.wikipedia.org/wiki/Tauranga	135	135000
di_17	17	69	North Island	is_1	Bay of Plenty	re_4	Western Bay of Plenty	se_11	Rotorua District		Rotorua	https://en.wikipedia.org/wiki/Rotorua_District	Rotorua District	https://mi.wikipedia.org/wiki/Rotorua-nui-a-Kahu	Q49108120		2409	72500
