ID	Number	Name	Plural	TeReo	Hierarchy	GazetteerName	OSMClass	OSMType	OSMLandUse	WikiLink	WikiData	WikiMi
fe_1	1	AIDS centre				Building	amenity	clinic	hospital			
fe_2	2	Airbase				Building	military	airfield	military	https://en.wikipedia.org/wiki/Air_base	Q695850	
fe_3	3	Airport		Papa rererangi		Building	aeroway	aerodrome	aerodrome	https://en.wikipedia.org/wiki/Airport	Q1248784	
fe_4	4	Anchor stone					natural	stone				
fe_5	5	Aqueduct					historic	aqueduct		https://en.wikipedia.org/wiki/Aqueduct_(bridge)	Q474	
fe_6	6	Area			1	Area	place	region		https://en.wikipedia.org/wiki/Area_(country_subdivision)	Q1414991	
fe_7	7	Arena		Whare tapere		Recreation	sport	multi	recreation_ground	https://en.wikipedia.org/wiki/Arena	Q641226	
fe_8	8	Arm				Stream	waterway	stream		https://en.wikipedia.org/wiki/Arm_(geography)	Q4792460	
fe_9	9	Arts & crafts centre			39	Building	craft		commercial			
fe_10	10	Bank				Bank	embankment			https://en.wikipedia.org/wiki/Bank_(geography)	Q2897058	
fe_11	11	Bar					natural			https://en.wikipedia.org/wiki/Bar_(river_morphology)	Q478251	
fe_12	12	Basin	Basins			Basin	natural			https://en.wikipedia.org/wiki/Drainage_basin	Q813672	
fe_13	13	Bath				Lake	natural	water				
fe_14	14	Battle site					historic	battlefield		https://en.wikipedia.org/wiki/Battlefield	Q4895508	
fe_15	15	Bay	Bays	Kowhanenga	4	Bay	natural	bay		https://en.wikipedia.org/wiki/Bay	Q39594	
fe_16	16	Beach		Tatahi		Beach	natural	beach		https://en.wikipedia.org/wiki/Beach	Q40080	
fe_17	17	Ben				Hill	natural	peak				
fe_18	18	Bight				Bay	natural	bay		https://en.wikipedia.org/wiki/Bight_(geography)	Q17018380	
fe_19	19	Bird sanctuary				sanctuary area	tourism	zoo		https://en.wikipedia.org/wiki/Animal_sanctuary	Q2714144	
fe_20	20	Block				Appellation	building		residential	https://en.wikipedia.org/wiki/Fault_block	Q992062	
fe_21	21	Blowhole				Coast Feature	natural	blowhole		https://en.wikipedia.org/wiki/Blowhole_(geology)	Q885499	
fe_22	22	Bluff	Bluffs			Cliff	natural	cliff		https://en.wikipedia.org/wiki/Cliff	Q107679	
fe_23	23	Boiling lake				Lake	natural	bay				
fe_24	24	Borough				Locality	place	borough	residential	https://en.wikipedia.org/wiki/Borough	Q5195043	
fe_25	25	Borstal				Building	amenity	prison		https://en.wikipedia.org/wiki/Borstal	Q746505	
fe_26	26	Boulder	Boulders	Toka		Rock	natural	bare_rock		https://en.wikipedia.org/wiki/Boulder	Q581776	
fe_27	27	Boulder bank				Rock	natural	bare_rock				
fe_28	28	Boundary					boundary				Q1307347	
fe_29	29	Bridge		Piriti		Bridge	man_made	bridge		https://en.wikipedia.org/wiki/Bridge	Q12280	
fe_30	30	Burn					natural	peak		https://en.wikipedia.org/wiki/Burn_(landform)	Q63565252	
fe_31	31	Bush				Bush	natural	scrub		https://en.wikipedia.org/wiki/The_bush	Q2344518	
fe_32	32	Bush reserve				Bush	leisure	nature_reserve				
fe_33	33	Camp					tourism	camp_site		https://en.wikipedia.org/wiki/Campsite	Q1198413	
fe_34	34	Camping area					tourism	camp_site		https://en.wikipedia.org/wiki/Campsite	Q27108230	
fe_35	35	Camping ground					tourism	camp_site		https://en.wikipedia.org/wiki/Campsite	Q27108230	
fe_36	36	Canal		Kōawa		Canal	waterway	canal		https://en.wikipedia.org/wiki/Canal	Q12284	
fe_37	37	Canoe		Waka	32		historic	ship		https://en.wikipedia.org/wiki/Canoe	Q171529	
fe_38	38	Canoe house		Whare Waka	46	Building	historic	ship				
fe_39	39	Cape				Cape	natural	cape		https://en.wikipedia.org/wiki/Cape_(geography)	Q185113	
fe_40	40	Carving		Whakairo			historic			https://en.wikipedia.org/wiki/Carving	Q23201577	
fe_41	41	Catholic centre				Building	building	religious	religious			
fe_42	42	Cave	Caves	Ana		Cave	natural	cave_entrance		https://en.wikipedia.org/wiki/Cave	Q35509	
