ID	ZoneID	Zone2ID	Zone_1	Zone_2	Type	Number	Name	TeReo		MaoriMaps	Feature	FeatureID	FeaturePlural	WikiLink	Wikipedia	WikiData	WikiMi
gr_zo_145-d	zo_145	zo_144	145	144	geographic	d	Arapawa Island	Arapaoa			Island	fe_134		https://en.wikipedia.org/wiki/Arapaoa_Island	Arapaoa Island	Q626154	https://mi.wikipedia.org/wiki/Arapaoa
gr_zo_116-a	zo_116		116		geographic	a	Auckland War Memorial Museum	Tāmaki Paenga Hira			Museum	fe_180		https://en.wikipedia.org/wiki/Auckland_War_Memorial_Museum	Auckland War Memorial Museum	Q758657	
gr_zo_132-a	zo_132		132		geographic	a	Cavalli Islands				Island	fe_134	1	https://en.wikipedia.org/wiki/Cavalli_Islands	Cavalli Islands	Q833981	
gr_zo_172-b	zo_172		172		geographic	b	Chalky Inlet	Taiari			Inlet	fe_132		https://en.wikipedia.org/wiki/Chalky_Island_(New_Zealand)	Chalky Island (New Zealand)	Q1059872	
gr_zo_177-b	zo_177	zo_176	177	176	geographic	b	Chatham Island	Wharekauri			Island	fe_134	1	https://en.wikipedia.org/wiki/Chatham_Islands	Chatham Islands	Q115459	https://mi.wikipedia.org/wiki/Wharekauri
gr_zo_144-c	zo_144		144		geographic	c	Chetwode Islands				Island	fe_134	1	https://en.wikipedia.org/wiki/Chetwode_Islands	Chetwode Islands	Q5094212	
gr_zo_144-d	zo_144		144		geographic	d	D'Urville Island	Rangitoto Ki Te Tonga			Island	fe_134		https://en.wikipedia.org/wiki/D%27Urville_Island_(New_Zealand)	D'Urville Island (New Zealand)	Q1273040	
gr_zo_113-b	zo_113		113		geographic	b	Great Barrier Island	Aotea			Island	fe_134		https://en.wikipedia.org/wiki/Great_Barrier_Island	Great Barrier Island	Q1363130	https://mi.wikipedia.org/wiki/Aotea_(moutere)
gr_zo_129-b	zo_129		129		geographic	b	Hen and Chickens				Island	fe_134	1	https://en.wikipedia.org/wiki/Hen_and_Chicken_Islands	Hen and Chicken Islands	Q610364	
gr_zo_129-c	zo_129		129		geographic	c	Chickens	Marotiri			Island	fe_134	1	https://en.wikipedia.org/wiki/Hen_and_Chicken_Islands	Hen and Chicken Islands	Q610364	
