ID	Number	Name	WikiLink	Wikipedia	WikiData	WikiMi			2001	2006	2013						
iw_1	1	Kai Tahu	https://en.wikipedia.org/wiki/Ng%C4%81i_Tahu	Ngāi Tahu	Q371230	https://mi.wikipedia.org/wiki/K%C4%81i_Tahu	Q371230	Ngāi Tahu / Kāi Tahu	39180	49185	54819						
iw_2	2	Kawerau	https://en.wikipedia.org/wiki/Te_Kawerau	Te Kawerau	Q7690843	https://mi.wikipedia.org/wiki/Kawerua	Q7690843	Te Kawerau ā Maki	228	123	150						
iw_3	3	Moriori	https://en.wikipedia.org/wiki/Moriori	Moriori	Q1758372		Q1758372	Moriori†	585	942	738		Q17054260	Ngāti Pūkenga	1137	1788	2175
iw_4	4	Muaupoko	https://en.wikipedia.org/wiki/Mua%C5%ABpoko	Muaūpoko	Q6930811	https://mi.wikipedia.org/wiki/Mua%C5%ABpoko	Q6930811	Muaūpoko	1836	2499	2694						
iw_5	5	Ngā Paimate															
iw_6	6	Ngā Rauru (Kītahi)	https://en.wikipedia.org/wiki/Ng%C4%81_Rauru	Ngā Rauru	Q7023204	https://mi.wikipedia.org/wiki/Ng%C4%81_Rauru	Q7023204	Ngā Rauru	3090	4047	4179						
iw_7	7	Ngā Ruahine	https://en.wikipedia.org/wiki/Ng%C4%81_Ruahine	Ngā Ruahine	Q10967369	https://mi.wikipedia.org/wiki/Ng%C4%81_Ruahine	Q10967369	Ngāruahine	3228	3723	4803		Q17054257	Ngāi Tāmanuhiri	1173	1662	1719
iw_8	8	Ngāpuhi	https://en.wikipedia.org/wiki/Ng%C4%81puhi	Ngāpuhi	Q1283558	https://mi.wikipedia.org/wiki/Ng%C4%81_Puhi	Q1283558	Ngāpuhi	102981	122214	125601		Q7023232	Ngāti Kurī	4647	5754	6492
iw_9	9	Ngāti Aorangi															
iw_10	10	Ngāti Apa	https://en.wikipedia.org/wiki/Ng%C4%81ti_Apa	Ngāti Apa	Q7023216		Q7023216	Ngāti Apa (Rangitīkei)	1458	2385	2970						
iw_11	11	Ngāti Apakura	https://en.wikipedia.org/wiki/Waikato_Tainui#Ng%C4%81ti_Apakura	Waikato Tainui#Ngāti Apakura	Q25659650	https://mi.wikipedia.org/wiki/Ng%C4%81ti_Apakura	Q25659828	Tūhourangi (Te Arawa)	1617	2277	2874		Q7691050	Te Ati Haunui-a-Pāpārangi	8820	10437	11691
iw_12	12	Ngāti Awa	https://en.wikipedia.org/wiki/Ng%C4%81ti_Awa	Ngāti Awa	Q7023219	https://mi.wikipedia.org/wiki/Ng%C4%81ti_Awa	Q7023219	Ngāti Awa	13044	15258	16182						
iw_13	13	Ngāti Hauā	https://en.wikipedia.org/wiki/Ng%C4%81ti_Haua	Ngāti Haua	Q7023222	https://mi.wikipedia.org/wiki/Ng%C4%81ti_Hau%C4%81	Q7023222	Ngāti Hauā (Waikato)	3840	4923	5598						
iw_14	14	Ngāti Hauiti	https://en.wikipedia.org/wiki/Ng%C4%81ti_Hauiti	Ngāti Hauiti	Q7023221		Q7023221	Ngāti Hauiti	1002	1038	1029						
iw_15	15	Ngāti Hei	https://en.wikipedia.org/wiki/Ng%C4%81ti_Hei	Ngāti Hei	Q7023224	https://mi.wikipedia.org/wiki/Ng%C4%81ti_Hei	Q7023224	Ngāti Hei	363	558	513						
iw_16	16	Ngāti Hikairo	https://en.wikipedia.org/wiki/Waikato_Tainui#Other_hap%C5%AB	Waikato Tainui#Other hapū													
iw_17	17	Ngāti Hine	https://en.wikipedia.org/wiki/Ng%C4%81ti_Hine	Ngāti Hine	Q7022129		Q7022129										
iw_18	18	Ngāti Kahu	https://en.wikipedia.org/wiki/Ng%C4%81ti_Kahu	Ngāti Kahu	Q7023227	https://mi.wikipedia.org/wiki/Ng%C4%81ti_Kahu	Q7023227	Ngāti Kahu	6957	8313	8580						
iw_19	19	Ngāti Kahukura	https://en.wikipedia.org/wiki/Ng%C4%81ti_Korok%C4%AB_Kahukura	Ngāti Korokī Kahukura	Q28180816	https://mi.wikipedia.org/wiki/Ng%C4%81ti_Kahukura	Q25659610										
iw_20	20	Ngāti Kahungunu	https://en.wikipedia.org/wiki/Ng%C4%81ti_Kahungunu_ki_Wairarapa	Ngāti Kahungunu ki Wairarapa	Q27963137	https://mi.wikipedia.org/wiki/Ng%C4%81ti_Kahungunu	Q27963137	Ngāti Kahungunu ki Wairarapa	5130	7440	8376						
iw_21	21	Ngāti Kanohi				https://mi.wikipedia.org/wiki/Ng%C4%81ti_K%C5%8Dnohi											
iw_22	22	Ngāti Kauwhata	https://en.wikipedia.org/wiki/Ng%C4%81ti_Kauwhata	Ngāti Kauwhata	Q25659611	https://mi.wikipedia.org/wiki/Ng%C4%81ti_Kauwhata	Q25659776	Ngāti Tama (Taranaki)	777	1167	1335		Q7682786	Tangāhoe	261	228	243
