ID	Number	Name	TeReo	Area_1	TeReo_1	Area_2	TeReo_2	Area_3	TeReo_3	Region	RegionID	GazetteerDistrict	Part	PartID	Island	IslandID	Iwi_1	IwiID_1	Iwi_2	IwiID_2	Iwi_3	IwiID_3	Iwi_4	IwiID_4	Iwi_Semi	IwiID_Semi	GooglePlaceIDSmall_1	GooglePlaceIDLarge_1	GooglePlaceIDSmall_2	GooglePlaceIDLarge_2	GooglePlaceName	Boundary	Map	MapID	MapAreaShape_1	MapAreaCoords_1	MapAreaShape_2	MapAreaCoords_2	Speaker_1	SpeakerID_1	SpeakerBrackets_1	SpeakerLocation_1	Speaker_2	SpeakerID_2	SpeakerLocation_2	Speaker_3	SpeakerID_3	Speaker_4	SpeakerID_4	FeaturedName_1	FeaturedName_2	FeaturedName_3	FeaturedName_4	FeaturedName_5	FeaturedName_6	FeaturedName_7	FeaturedName_8	Notes	Wikipedia_1	Wikipedia_2	Wikipedia_3	Length
zo_1	1	Wellington	Te Whanganui-a-Tara	Wellington	Te Whanganui-a-Tara					Wellington	re_1	Wellington	Lower North Island	pa_1	North Island	is_1	Te Āti Awa	iw_81										ChIJy3TpSfyxOG0RcLQTomPvAAo			Wellington		Lower North Island	ma_1	circle	267,768,10			Kara Puketapu	sp_51										Hātaitai	Kaiwharawhara	Kārori	Ngāūranga						https://en.wikipedia.org/wiki/Wellington			172
zo_2	2	Lower Hutt Valley	Awakairangi	Lower Hutt Valley	Awakairangi					Wellington	re_1	Wellington	Lower North Island	pa_1	North Island	is_1	Te Āti Awa	iw_81									ChIJ-winbklWR20RINuiQ2HvAAU				Lower Hutt		Lower North Island	ma_1	circle	292,757,15			Kara Puketapu	sp_51																			https://en.wikipedia.org/wiki/Lower_Hutt			108
zo_3	3	Upper Hutt Valley	Whakatiki	Upper Hutt Valley	Whakatiki					Wellington	re_1	Wellington	Lower North Island	pa_1	North Island	is_1	Te Āti Awa	iw_81									ChIJ7QnJ1pqxQG0RIZmjQ2HvAAU	ChIJoXyo73exQG0R5LdOMogvQAg			Upper Hutt		Lower North Island	ma_1	circle	301,727,15			Kara Puketapu	sp_51																			https://en.wikipedia.org/wiki/Upper_Hutt			56
zo_4	4	Porirua Harbour	Porirua	Porirua Harbour	Porirua					Wellington	re_1	Wellington	Lower North Island	pa_1	North Island	is_1	Ngāti Toa Rangatira	iw_56									ChIJjzUPKJxWP20RFJmiQ2HvAAU	ChIJKTY06LKpQG0R4xaI9V9yg9w			Porirua		Lower North Island	ma_1	circle	269,740,17			Tarawara (Wara) Katene	sp_107										Pāuatahānui	Te Rauparaha								https://en.wikipedia.org/wiki/Porirua			135
zo_5	5	Kāpiti Coast	Kāpiti	Kāpiti Coast	Kāpiti					Wellington	re_1	Wellington	Lower North Island	pa_1	North Island	is_1	Te Āti Awa	iw_81	Ngāti Toa Rangatira	iw_56	Ngāti Raukawa	iw_45						ChIJN8q_BraUQG0RAKyiQ2HvAAQ			Kapiti Coast District		Lower North Island	ma_1	poly	283,682,322,691,317,712,299,711,286,736,284,730,272,724,260,697,265,681			Te Aputa ki Wairua Parata Kauri	sp_113										Kāpiti	Paekākāriki	Paraparāumu							https://en.wikipedia.org/wiki/Kapiti_Coast_District			103
zo_6	6	Ōtaki	Ōtaki		Ōtaki					Manawatū	re_2	Wellington	Lower North Island	pa_1	North Island	is_1	Ngāti Raukawa	iw_45									ChIJiRyM5FmSQG0RcPGiQ2HvAAU	ChIJxSlQKkrpQG0RlFkQ41UQcAk			Otaki		Lower North Island	ma_1	poly	287,651,327,655,321,689,282,682			Matenga Baker	sp_68																			https://en.wikipedia.org/wiki/Otaki,_New_Zealand			97
zo_7	7	Levin	Horowhenua	Levin	Horowhenua					Manawatū	re_2	Wellington	Lower North Island	pa_1	North Island	is_1	Muaupoko	iw_4									ChIJTX2WfGLzQG0R0NmiQ2HvAAU	ChIJvaoei6_0QG0RUjAe1Vush00			Levin		Lower North Island	ma_1	poly	283,637,328,640,327,654,286,650			Tamihana Tukapua	sp_106																			https://en.wikipedia.org/wiki/Levin,_New_Zealand			52
zo_8	8	Foxton	Te Awahou	Foxton	Te Awahou					Manawatū	re_2	Wellington	Lower North Island	pa_1	North Island	is_1	Ngāti Raukawa	iw_45									ChIJf01EOY5eQG0RkMSiQ2HvAAU	ChIJkbmlblFcQG0RjqBk-M_qjVE			Foxton		Lower North Island	ma_1	poly	272,604,302,605,327,624,328,640,287,637			Ngarongo Iwikatea (Iwi) Nicholson	sp_79																			https://en.wikipedia.org/wiki/Foxton,_New_Zealand			121
zo_9	9	Palmerston North	Te Papa-i-Oea	Palmerston North	Te Papa-i-Oea					Manawatū	re_2	Wellington	Lower North Island	pa_1	North Island	is_1	Rangitāne (Tāne-nui-ā-Rangi)	iw_74									ChIJg0SjvZ-tQW0RFZmiQ2HvAAU	ChIJIwEfl-tRQG0RKogF4vBEhAk			Palmerston North		Lower North Island	ma_1	poly	320,528,343,562,330,622,302,605			Matawha (Pompey) Durie	sp_67			Eileen Ngahere	sp_12														By whakapapa, the best person to say these names would have been a descendent of Chief Te Awe Awe, and a daughter of his was insistant that it should be so, but none of his children spoke the language. (In fact Te Awe Awe had lived a double life, going by an English name and playing in a jazz band.) Eventually she relented, and Matawhā "Pompey" Durie, father of Judge Eddie and Dr Mason Durie, said them, and he was amply qualified to do so.	https://en.wikipedia.org/wiki/Palmerston_North			91
zo_10	10	Feilding	Aorangi	Feilding	Aorangi					Rangitikeī	re_3	Wellington	Lower North Island	pa_1	North Island	is_1	Ngāti Raukawa	iw_45	Ngāti Aorangi	iw_9	Ngāti Kauwhata	iw_22					ChIJRebZWno1QG0RMMOiQ2HvAAU	ChIJfXQcR1zMQW0R4W_BEn06NxY			Feilding		Lower North Island	ma_1	poly	294,547,319,559,302,605,270,601			Matawha (Pompey) Durie	sp_67																			https://en.wikipedia.org/wiki/Feilding			49
